Word,Word Importance
psychologist,1.15
lives,0.79
explore,0.77
people,0.72
life,0.71
work,0.71
think,0.66
feel,0.65
ways,0.62
make,0.60
know,0.58
stories,0.58
conversation,0.58
time,0.54
purpose,0.53
look,0.52
ideas,0.52
relationships,0.51
hear,0.50
sure,0.50
