word,coefficient
director,1.0843771757445193
university,1.0327902434049034
school,0.9845072723606196
national,0.9166441175361992
minister,0.8984609157627778
associate,0.8855699521188811
ceo,0.8418639324529065
government,0.7390082118215691
business,0.7335311676822592
institute,0.669591996963847
ai,0.6640658712699101
chief,0.6460256044255666
education,0.6300660693299796
policy,0.6298118994501465
public,0.6232128875145978
head,0.6077421105567286
senior,0.5999572974013861
workers,0.5892873444016714
management,0.5744202776616472
law,0.572089796974257
