max_features,ngram_range,min_df,accuracy,f1
5000,"(1, 1)",1,0.9873417721518988,0.987012987012987
5000,"(1, 2)",2,0.9746835443037974,0.9736842105263158
8000,"(1, 2)",2,0.9746835443037974,0.9736842105263158
10000,"(1, 3)",2,0.9746835443037974,0.9736842105263158
